{259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259},
{-1,259,-1,226,226,226,-1,-1,-1,259,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,259,-1,-1,226,226,226,-1,-1},
{-1,259,-1,226,226,226,-1,-1,-1,259,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,-1,-1,-1,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,-1},
{-1,259,-1,226,226,226,-1,-1,105,259,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,-1,-1,-1,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,81},
{-1,259,-1,226,226,226,-1,-1,-1,259,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,-1,-1,-1,-1,-1,226,226,226,-1,-1,259,-1,-1,226,226,226,-1,311},
{-1,259,259,226,226,226,259,259,259,259,259,259,226,226,226,259,259,259,259,259,226,226,226,259,259,259,259,259,226,226,226,259,259,259,259,259,259,226,226,226,259,259,259,259,259,226,226,226,259,259},
{-1,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226},
{-1,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226},
{-1,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226,259,226,226,226,226,226,226,226},
{259,-1,226,226,175,175,175,226,226,-1,226,226,175,175,175,226,226,226,226,226,175,175,175,226,226,226,226,226,175,175,175,175,226,226,259,226,226,175,175,175,226,226,226,226,226,175,175,175,226,226},
{259,-1,226,226,175,175,175,226,226,226,226,226,175,175,175,226,226,226,226,226,175,175,175,226,226,226,226,226,175,175,175,175,226,226,259,226,226,175,175,175,226,226,226,226,226,175,175,175,226,226},
